,embryo,stage,fate,lineage,mean_time,mean_size,n_progenitors
205,E9.5-R3,E9.5,Myotome,Paraxial mesoderm,8.835764621256791,2.125,96
206,E9.5-R3,E9.5,Nascent somite,Paraxial mesoderm,8.802139397637214,3.2305825242718447,412
207,E9.5-R3,E9.5,Notochord,Mesoderm,7.447921388134255,4.54054054054054,74
208,E9.5-R3,E9.5,Olfactory placode,Surface ectoderm,8.590853964514464,5.413249211356467,317
209,E9.5-R3,E9.5,Olfactory sensory neuron,Surface ectoderm,8.930977316200432,2.4642857142857144,28
210,E9.5-R3,E9.5,Otic placode,Surface ectoderm,8.515449436413723,3.9461538461538463,130
211,E9.5-R3,E9.5,Otic sensory neuron,Surface ectoderm,8.58064820674934,4.052631578947368,76
212,E9.5-R3,E9.5,Periocular mesoderm,Paraxial mesoderm,8.372443024578281,4.618705035971223,139
213,E9.5-R3,E9.5,Pharyngeal arch mesenchyme,Neural crest,8.416382022046914,11.17968094038623,1191
214,E9.5-R3,E9.5,Pharyngeal endoderm,Endoderm,7.968016050679359,9.306358381502891,173
215,E9.5-R3,E9.5,Pharyngeal mesoderm,Paraxial mesoderm,8.36248563875663,4.770343580470163,553
216,E9.5-R3,E9.5,Presomitic mesoderm,Paraxial mesoderm,8.76943256274909,3.816417910447761,670
217,E9.5-R3,E9.5,Primordial germ cell,Primordial germ cell,7.524598697259779,4.0,2
218,E9.5-R3,E9.5,Roof plate,Neural ectoderm,8.718822299340426,2.9429133858267718,508
219,E9.5-R3,E9.5,Sacral neural crest,Neural crest,8.900743986637382,2.8402777777777777,144
220,E9.5-R3,E9.5,Sclerotome,Paraxial mesoderm,8.545956355776369,6.2792415661167205,4061
221,E9.5-R3,E9.5,Second heart field,Lateral plate mesoderm,8.340021929280715,4.030075187969925,532
222,E9.5-R3,E9.5,Somatic mesoderm,Lateral plate mesoderm,8.612774969914069,6.323191886842808,3747
223,E9.5-R3,E9.5,Somatic motor neuron,Neural ectoderm,8.798493339175387,2.5637450199203187,502
224,E9.5-R3,E9.5,Spinal cord (cervical),Neural ectoderm,8.737643234149612,4.3654725609756095,2624
225,E9.5-R3,E9.5,Spinal cord (lumbar),Neural ectoderm,8.818283943061468,4.302247191011236,890
226,E9.5-R3,E9.5,Spinal cord (sacral),Neural ectoderm,8.843209940006822,3.386138613861386,505
227,E9.5-R3,E9.5,Spinal cord (thoracic),Neural ectoderm,8.806542601897451,4.8696883852691215,2118
228,E9.5-R3,E9.5,Spinal cord interneuron,Neural ectoderm,8.82001500716939,2.3398294762484775,821
229,E9.5-R3,E9.5,Splanchnic mesoderm,Lateral plate mesoderm,8.582809320505142,3.9202936549554273,1907
230,E9.5-R3,E9.5,Surface ectoderm,Surface ectoderm,8.651209517179396,4.71978021978022,182
231,E9.5-R3,E9.5,Telencephalon,Neural ectoderm,8.532289413831185,9.603112840466926,1285
232,E9.5-R3,E9.5,Trigeminal ganglion neuron,Neural crest,8.643196890268062,3.0288461538461537,104
233,E9.5-R3,E9.5,Trigeminal placode,Surface ectoderm,8.463015697467993,4.962053571428571,448
234,E9.5-R3,E9.5,Trigeminal sensory neuron,Surface ectoderm,8.68225440384154,4.735135135135135,185
235,E9.5-R3,E9.5,Trunk neural crest,Neural crest,8.783801863852867,3.3415841584158414,404
236,E9.5-R3,E9.5,Vagal neural crest,Neural crest,8.762164800756564,2.797720797720798,351
